,closePrize,close_x,normalDistribution,numberOfDev,percent_change,security_name,date_x,ticker_x,year_x,month,day_x,primary_security_ticker,end_date,fiscal_period,cashdividendspershare,year_y,day_y,ticker_y,date_y,adj_close,close_y,year,day
44,37.0089,154.12,0.0,0.0,0.0055,Apple Inc,2017-09-29,AAPL,2017,9,29,,,,,,,,,,,,
45,26.6762,113.05,0.0,0.0,0.0078,Apple Inc,2016-09-30,AAPL,2016,9,30,,,,,,,,,,,,
46,129.04,129.04,0.0,0.0,0.0339,Apple Inc,2020-08-31,AAPL,2020,8,31,,,,,,,A,2021-08-04,154.27,154.27,2021.0,4.0
47,129.04,129.04,0.0,0.0,0.0339,Apple Inc,2020-08-31,AAPL,2020,8,31,,,,,,,AMAT,2021-08-04,142.76,142.76,2021.0,4.0
48,129.04,129.04,0.0,0.0,0.0339,Apple Inc,2020-08-31,AAPL,2020,8,31,,,,,,,LB,2021-08-02,79.92,79.92,2021.0,2.0
49,129.04,129.04,0.0,0.0,0.0339,Apple Inc,2020-08-31,AAPL,2020,8,31,,,,,,,LDOS,2021-08-04,94.48,94.48,2021.0,4.0
50,51.6723,208.74,0.0,0.0,-0.0013,Apple Inc,2019-08-30,AAPL,2019,8,30,,,,,,,A,2021-08-04,154.27,154.27,2021.0,4.0
51,51.6723,208.74,0.0,0.0,-0.0013,Apple Inc,2019-08-30,AAPL,2019,8,30,,,,,,,AMAT,2021-08-04,142.76,142.76,2021.0,4.0
52,51.6723,208.74,0.0,0.0,-0.0013,Apple Inc,2019-08-30,AAPL,2019,8,30,,,,,,,LB,2021-08-02,79.92,79.92,2021.0,2.0
53,51.6723,208.74,0.0,0.0,-0.0013,Apple Inc,2019-08-30,AAPL,2019,8,30,,,,,,,LDOS,2021-08-04,94.48,94.48,2021.0,4.0
54,55.4874,227.63,0.0,0.0,0.0116,Apple Inc,2018-08-31,AAPL,2018,8,31,,,,,,,A,2021-08-04,154.27,154.27,2021.0,4.0
55,55.4874,227.63,0.0,0.0,0.0116,Apple Inc,2018-08-31,AAPL,2018,8,31,,,,,,,AMAT,2021-08-04,142.76,142.76,2021.0,4.0
56,55.4874,227.63,0.0,0.0,0.0116,Apple Inc,2018-08-31,AAPL,2018,8,31,,,,,,,LB,2021-08-02,79.92,79.92,2021.0,2.0
57,55.4874,227.63,0.0,0.0,0.0116,Apple Inc,2018-08-31,AAPL,2018,8,31,,,,,,,LDOS,2021-08-04,94.48,94.48,2021.0,4.0
58,39.3814,164.0,0.0,0.0,0.004,Apple Inc,2017-08-31,AAPL,2017,8,31,,,,,,,A,2021-08-04,154.27,154.27,2021.0,4.0
59,39.3814,164.0,0.0,0.0,0.004,Apple Inc,2017-08-31,AAPL,2017,8,31,,,,,,,AMAT,2021-08-04,142.76,142.76,2021.0,4.0
60,39.3814,164.0,0.0,0.0,0.004,Apple Inc,2017-08-31,AAPL,2017,8,31,,,,,,,LB,2021-08-02,79.92,79.92,2021.0,2.0
61,39.3814,164.0,0.0,0.0,0.004,Apple Inc,2017-08-31,AAPL,2017,8,31,,,,,,,LDOS,2021-08-04,94.48,94.48,2021.0,4.0
62,25.0362,106.1,0.0,0.0,0.0009,Apple Inc,2016-08-31,AAPL,2016,8,31,,,,,,,A,2021-08-04,154.27,154.27,2021.0,4.0
63,25.0362,106.1,0.0,0.0,0.0009,Apple Inc,2016-08-31,AAPL,2016,8,31,,,,,,,AMAT,2021-08-04,142.76,142.76,2021.0,4.0
64,25.0362,106.1,0.0,0.0,0.0009,Apple Inc,2016-08-31,AAPL,2016,8,31,,,,,,,LB,2021-08-02,79.92,79.92,2021.0,2.0
65,25.0362,106.1,0.0,0.0,0.0009,Apple Inc,2016-08-31,AAPL,2016,8,31,,,,,,,LDOS,2021-08-04,94.48,94.48,2021.0,4.0
66,106.069,425.04,0.0,0.0,0.1047,Apple Inc,2020-07-31,AAPL,2020,7,31,AAPL,2017-07-01,Q3,0.63,2017.0,1.0,ALXN,2021-07-21,182.5,182.5,2021.0,21.0
67,52.5371,213.04,0.0,0.0,0.0204,Apple Inc,2019-07-31,AAPL,2019,7,31,AAPL,2017-07-01,Q3,0.63,2017.0,1.0,ALXN,2021-07-21,182.5,182.5,2021.0,21.0
68,46.2232,190.29,0.0,0.0,0.002,Apple Inc,2018-07-31,AAPL,2018,7,31,AAPL,2017-07-01,Q3,0.63,2017.0,1.0,ALXN,2021-07-21,182.5,182.5,2021.0,21.0
69,35.5749,148.73,0.0,0.0,-0.0052,Apple Inc,2017-07-31,AAPL,2017,7,31,AAPL,2017-07-01,Q3,0.63,2017.0,1.0,ALXN,2021-07-21,182.5,182.5,2021.0,21.0
70,24.4577,104.21,0.0,0.0,-0.0012,Apple Inc,2016-07-29,AAPL,2016,7,29,AAPL,2017-07-01,Q3,0.63,2017.0,1.0,ALXN,2021-07-21,182.5,182.5,2021.0,21.0
71,91.0359,364.8,0.0,0.0,0.0083,Apple Inc,2020-06-30,AAPL,2020,6,30,AAPL,2021-06-26,Q3,0.22,2021.0,26.0,,,,,,
72,91.0359,364.8,0.0,0.0,0.0083,Apple Inc,2020-06-30,AAPL,2020,6,30,AAPL,2020-06-27,Q3,0.82,2020.0,27.0,,,,,,
73,91.0359,364.8,0.0,0.0,0.0083,Apple Inc,2020-06-30,AAPL,2020,6,30,AAPL,2019-06-29,Q3,0.77,2019.0,29.0,,,,,,
74,91.0359,364.8,0.0,0.0,0.0083,Apple Inc,2020-06-30,AAPL,2020,6,30,AAPL,2018-06-30,Q3,0.73,2018.0,30.0,,,,,,
75,91.0359,364.8,0.0,0.0,0.0083,Apple Inc,2020-06-30,AAPL,2020,6,30,AAPL,2016-06-25,Q3,0.57,2016.0,25.0,,,,,,
